pkgmng,pkgname
all,automake
all,build-essential
all,clisp
all,cmake
all,curl
all,dos2unix
all,file
all,fzf
all,gh
all,git
all,golang-go
all,jq
all,libboost-all-dev
all,neofetch
all,nkf
all,nodejs
all,mysql-server
all,openjdk-21-jdk
all,podman
all,procps
all,rbenv
all,redis
all,vim
all,watchman
all,yarn
all,zsh
apt,wireshark
pacman,awscli
pacman,azure-functions-core-tools
pacman,lazygit
pacman,ttf-cascadia-code-nerd
pacman,rio
pacman,sqlcmd
pacman,sqlite
pacman,wireshark-cli
